LocationType,Location,TimeFrame,DataFormat,Data
State,Arkansas,2012,"Rate per 1,000",7
State,Arkansas,2015,Number,293
State,Arkansas,2011,Number,286
State,Arkansas,2011,"Rate per 1,000",7.4
State,Arkansas,2014,Number,290
State,Arkansas,2012,Number,269
State,Arkansas,2016,"Rate per 1,000",8.1
State,Arkansas,2014,"Rate per 1,000",7.5
State,Arkansas,2016,Number,309
State,Arkansas,2017,Number,307
State,Arkansas,2017,"Rate per 1,000",8.2
State,California,2017,"Rate per 1,000",4.2
State,California,2016,Number,2057
State,California,2017,Number,1973
State,California,2014,"Rate per 1,000",4.3
State,California,2016,"Rate per 1,000",4.2
State,California,2014,Number,2163
State,California,2011,"Rate per 1,000",4.8
State,California,2012,Number,2246
State,California,2011,Number,2398
State,California,2015,Number,2169
State,California,2012,"Rate per 1,000",4.5
State,California,2010,"Rate per 1,000",4.7
State,California,2015,"Rate per 1,000",4.4
State,California,2009,Number,2602
State,California,2010,Number,2420
State,California,2009,"Rate per 1,000",4.9
State,California,2018,"Rate per 1,000",4.2
State,California,2013,Number,2353
State,California,2018,Number,1909
State,California,2013,"Rate per 1,000",4.8
State,California,2008,"Rate per 1,000",5.1
State,California,2007,Number,2944
State,California,2008,Number,2814
State,California,2007,"Rate per 1,000",5.2
State,California,2006,"Rate per 1,000",5
State,California,2006,Number,2835
State,California,2004,"Rate per 1,000",5.2
State,California,2005,Number,2930
State,California,2005,"Rate per 1,000",5.3
State,California,2004,Number,2811
State,California,2003,Number,2820
State,California,2003,"Rate per 1,000",5.2
State,California,2001,Number,2830
State,California,2002,"Rate per 1,000",5.5
State,California,2002,Number,2889
State,California,2001,"Rate per 1,000",5.4
State,California,2000,"Rate per 1,000",5.4
State,California,2000,Number,2894
State,California,1999,Number,2800
State,California,1998,"Rate per 1,000",5.8
State,California,1999,"Rate per 1,000",5.4
State,California,1998,Number,3007
State,California,1997,Number,3104
State,California,1997,"Rate per 1,000",5.9
State,California,1996,"Rate per 1,000",5.9
State,California,1995,Number,3487
State,California,1996,Number,3203
State,California,1995,"Rate per 1,000",6.3
State,California,1994,"Rate per 1,000",7
State,California,1994,Number,3967
State,California,1993,Number,4001
State,California,1992,"Rate per 1,000",7
State,California,1993,"Rate per 1,000",6.8
State,California,1991,Number,4623
State,California,1992,Number,4201
State,California,1991,"Rate per 1,000",7.6
State,California,1990,"Rate per 1,000",7.9
State,California,1990,Number,4844
State,Colorado,1990,Number,472
State,Colorado,1990,"Rate per 1,000",8.8
State,Colorado,1991,"Rate per 1,000",8.4
State,Colorado,1992,Number,413
State,Colorado,1991,Number,451
State,Colorado,1993,"Rate per 1,000",7.9
State,Colorado,1992,"Rate per 1,000",7.6
State,Colorado,1993,Number,426
State,Colorado,1994,Number,378
State,Colorado,1994,"Rate per 1,000",7
State,Colorado,1995,"Rate per 1,000",6.5
State,Colorado,1996,Number,369
State,Colorado,1995,Number,352
State,Colorado,1996,"Rate per 1,000",6.6
State,Colorado,1997,"Rate per 1,000",7
State,Colorado,1997,Number,397
State,Colorado,1998,Number,399
State,Colorado,1999,"Rate per 1,000",6.7
State,Colorado,1998,"Rate per 1,000",6.7
State,Colorado,1999,Number,416
State,Colorado,2000,Number,404
State,Colorado,2000,"Rate per 1,000",6.2
State,Colorado,2001,"Rate per 1,000",5.8
State,Colorado,2002,Number,415
State,Colorado,2002,"Rate per 1,000",6.1
State,Colorado,2001,Number,388
State,Colorado,2003,"Rate per 1,000",6.1
State,Colorado,2003,Number,420
State,Colorado,2004,Number,434
State,Colorado,2005,"Rate per 1,000",6.4
State,Colorado,2005,Number,444
State,Colorado,2004,"Rate per 1,000",6.3
State,Colorado,2006,Number,404
State,Colorado,2006,"Rate per 1,000",5.7
State,Colorado,2007,"Rate per 1,000",6.1
State,Colorado,2008,Number,437
State,Colorado,2007,Number,433
State,Colorado,2008,"Rate per 1,000",6.2
State,Colorado,2013,"Rate per 1,000",5.1
State,Colorado,2018,Number,298
State,Colorado,2013,Number,331
State,Colorado,2018,"Rate per 1,000",4.7
State,Colorado,2009,"Rate per 1,000",6.3
State,Colorado,2010,Number,392
State,Colorado,2009,Number,429
State,Colorado,2015,"Rate per 1,000",4.6
State,Colorado,2010,"Rate per 1,000",5.9
State,Colorado,2012,"Rate per 1,000",4.6
State,Colorado,2015,Number,309
State,Colorado,2011,Number,362
State,Colorado,2012,Number,298
State,Colorado,2011,"Rate per 1,000",5.6
State,Colorado,2014,Number,315
State,Colorado,2016,"Rate per 1,000",4.8
State,Colorado,2014,"Rate per 1,000",4.8
State,Colorado,2017,Number,291
State,Colorado,2016,Number,319
State,Colorado,2017,"Rate per 1,000",4.5
State,Connecticut,2017,"Rate per 1,000",4.5
State,Connecticut,2016,Number,174
State,Connecticut,2017,Number,160
State,Connecticut,2014,"Rate per 1,000",4.9
State,Connecticut,2016,"Rate per 1,000",4.8
State,Connecticut,2014,Number,176
State,Connecticut,2011,"Rate per 1,000",5.1
State,Connecticut,2012,Number,188
State,Connecticut,2011,Number,191
State,Connecticut,2015,Number,200
State,Connecticut,2012,"Rate per 1,000",5.1
State,Connecticut,2015,"Rate per 1,000",5.6
State,Connecticut,2010,"Rate per 1,000",5.3
State,Connecticut,2009,Number,214
State,Connecticut,2010,Number,199
State,Connecticut,2009,"Rate per 1,000",5.5
State,Connecticut,2018,"Rate per 1,000",4.2
State,Connecticut,2013,Number,169
State,Connecticut,2018,Number,147
State,Connecticut,2013,"Rate per 1,000",4.7
State,Connecticut,2008,"Rate per 1,000",6
State,Connecticut,2007,Number,276
State,Connecticut,2008,Number,242
State,Connecticut,2007,"Rate per 1,000",6.6
State,Connecticut,2006,"Rate per 1,000",6.2
State,Connecticut,2006,Number,260
State,Connecticut,2004,"Rate per 1,000",5.5
State,Connecticut,2005,Number,243
State,Connecticut,2005,"Rate per 1,000",5.8
State,Connecticut,2004,Number,233
State,Connecticut,2003,Number,230
State,Connecticut,2003,"Rate per 1,000",5.4
State,Connecticut,2001,Number,260
State,Connecticut,2002,"Rate per 1,000",6.5
State,Connecticut,2002,Number,274
State,Connecticut,2001,"Rate per 1,000",6.1
State,Connecticut,2000,"Rate per 1,000",6.6
State,Connecticut,2000,Number,282
State,Connecticut,1999,Number,265
State,Connecticut,1998,"Rate per 1,000",7
State,Connecticut,1999,"Rate per 1,000",6.1
State,Connecticut,1998,Number,307
State,Connecticut,1997,Number,310
State,Connecticut,1997,"Rate per 1,000",7.2
State,Connecticut,1996,"Rate per 1,000",6.4
State,Connecticut,1995,Number,317
State,Connecticut,1996,Number,286
State,Connecticut,1995,"Rate per 1,000",7.2
State,Connecticut,1994,"Rate per 1,000",7.9
State,Connecticut,1994,Number,360
State,Connecticut,1993,Number,331
State,Connecticut,1992,"Rate per 1,000",7.6
State,Connecticut,1993,"Rate per 1,000",7.1
State,Connecticut,1991,Number,359
State,Connecticut,1992,Number,361
State,Connecticut,1991,"Rate per 1,000",7.4
State,Connecticut,1990,"Rate per 1,000",7.9
State,Connecticut,1990,Number,398
State,Delaware,1990,Number,112
State,Delaware,1990,"Rate per 1,000",10.1
State,Delaware,1991,"Rate per 1,000",11.8
State,Delaware,1992,Number,92
State,Delaware,1991,Number,132
State,Delaware,1993,"Rate per 1,000",8.8
State,Delaware,1992,"Rate per 1,000",8.6
State,Delaware,1993,Number,93
State,Delaware,1994,Number,71
State,Delaware,1994,"Rate per 1,000",6.8
State,Delaware,1995,"Rate per 1,000",7.5
State,Delaware,1996,Number,77
State,Delaware,1995,Number,77
State,Delaware,1996,"Rate per 1,000",7.6
State,Delaware,1997,"Rate per 1,000",7.8
State,Delaware,1997,Number,80
State,Delaware,1998,Number,102
State,Delaware,1999,"Rate per 1,000",7.4
State,Delaware,1998,"Rate per 1,000",9.6
State,Delaware,1999,Number,79
State,Delaware,2000,Number,102
State,Delaware,2000,"Rate per 1,000",9.2
State,Delaware,2001,"Rate per 1,000",10.7
State,Delaware,2002,Number,96
State,Delaware,2002,"Rate per 1,000",8.7
State,Delaware,2001,Number,115
State,Delaware,2003,"Rate per 1,000",9.4
State,Delaware,2003,Number,107
State,Delaware,2004,Number,98
State,Delaware,2005,"Rate per 1,000",9
State,Delaware,2005,Number,105
State,Delaware,2004,"Rate per 1,000",8.6
State,Delaware,2006,Number,99
State,Delaware,2006,"Rate per 1,000",8.3
State,Delaware,2007,"Rate per 1,000",7.5
State,Delaware,2008,Number,101
State,Delaware,2007,Number,91
State,Delaware,2008,"Rate per 1,000",8.4
State,Delaware,2013,"Rate per 1,000",6.3
State,Delaware,2013,Number,68
State,Delaware,2018,Number,62
State,Delaware,2018,"Rate per 1,000",5.8
State,Delaware,2009,"Rate per 1,000",7.9
State,Delaware,2010,Number,87
State,Delaware,2009,Number,91
State,Delaware,2010,"Rate per 1,000",7.7
State,Delaware,2015,"Rate per 1,000",9
State,Delaware,2012,"Rate per 1,000",7.6
State,Delaware,2015,Number,100
State,Delaware,2011,Number,98
State,Delaware,2012,Number,84
State,Delaware,2011,"Rate per 1,000",8.7
State,Delaware,2014,Number,74
State,Delaware,2016,"Rate per 1,000",7.9
